man,manLabel
http://www.wikidata.org/entity/Q168919,Zdenek Felix
http://www.wikidata.org/entity/Q175639,Reynold Higgins
http://www.wikidata.org/entity/Q176938,Paolo Portoghesi
http://www.wikidata.org/entity/Q177450,Giovanni Battista Visconti
http://www.wikidata.org/entity/Q179047,Q179047
http://www.wikidata.org/entity/Q179126,John Ruskin
http://www.wikidata.org/entity/Q179174,Anonimo Gaddiano
http://www.wikidata.org/entity/Q183433,Carlo Pedretti
http://www.wikidata.org/entity/Q183528,Philip Johnson
http://www.wikidata.org/entity/Q188929,Arthur Evans
http://www.wikidata.org/entity/Q192348,Benedetto Croce
http://www.wikidata.org/entity/Q196382,Q196382
http://www.wikidata.org/entity/Q197292,Q197292
http://www.wikidata.org/entity/Q202095,Federico Halbherr
http://www.wikidata.org/entity/Q202790,Théodore Reinach
http://www.wikidata.org/entity/Q204033,Garegin Hovsepʻyan
http://www.wikidata.org/entity/Q206173,Karel van Mander
http://www.wikidata.org/entity/Q206442,Biagio Pace
http://www.wikidata.org/entity/Q211513,Sergej Pavlovič Djagilev
http://www.wikidata.org/entity/Q213543,Rudolf Erich Raspe
http://www.wikidata.org/entity/Q213597,Hans Richter
http://www.wikidata.org/entity/Q213642,Rudolf Arnheim
http://www.wikidata.org/entity/Q213870,Karl August Böttiger
http://www.wikidata.org/entity/Q213996,Raymond Klibansky
http://www.wikidata.org/entity/Q214206,Max Stern
http://www.wikidata.org/entity/Q214302,Charles de Tolnay
http://www.wikidata.org/entity/Q214493,Gustav Glück
http://www.wikidata.org/entity/Q214584,August Friedrich Pecht
http://www.wikidata.org/entity/Q214589,Johann Dominicus Fiorillo
http://www.wikidata.org/entity/Q214630,Carl Ludwig Fernow
http://www.wikidata.org/entity/Q215037,Frederick Antal
http://www.wikidata.org/entity/Q215614,H. W. Janson
http://www.wikidata.org/entity/Q215623,Vilém Flusser
http://www.wikidata.org/entity/Q215626,Georges Wildenstein
http://www.wikidata.org/entity/Q215632,Stephan Beissel
http://www.wikidata.org/entity/Q215697,"Atanazy, Count Raczyński"
http://www.wikidata.org/entity/Q215718,Christian Leberecht Vogel
http://www.wikidata.org/entity/Q215922,Heinrich Zimmer
http://www.wikidata.org/entity/Q215999,Rudolf Wittkower
http://www.wikidata.org/entity/Q74203,Percy Ernst Schramm
http://www.wikidata.org/entity/Q74432,Karl Ernst Osthaus
http://www.wikidata.org/entity/Q74493,Rudolf Marggraff
